asdfasdf





1123412342






!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=123262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=03262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=111262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=021262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=020262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=020262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=020262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=020262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=020262
/132849h/97g56ky9O!!G/A=000950 12.0V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132855h/97g56ky9O!!G/A=000950 11.9V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132902h/97g56ky9O!!G/A=000950 11.9V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132908h/97g56ky9O!!G/A=000950 11.9V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132915h/97g56ky9O!!G/A=000950 11.9V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132921h/97g56ky9O!!G/A=000950 11.9V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132928h/97g56ky9O!!G/A=000950 11.9V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=024262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=025262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=026262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=027262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=028262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=029262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=030262
/154924h/98It6l=LO<9G/A=044062 11.0V 227C HDOP00.9 SATS10HABET LX-100-C www.sscl.iastate.edu
!/97gR6ky5O st/A=000943 12.2V 23C HDOP02.1 SATS06HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000943 12.1V 23C HDOP01.3 SATS07HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000943 12.2V 23C HDOP01.1 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000943 12.2V 23C HDOP01.1 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000943 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000943 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000943 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000943 12.1V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000943 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.1 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.1 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.1V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000944 12.2V 23C HDOP01.4 SATS07HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000945 12.2V 23C HDOP01.4 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000945 12.2V 23C HDOP01.4 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000945 12.2V 23C HDOP01.2 SATS09HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000945 12.2V 23C HDOP01.4 SATS07HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000945 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000945 12.2V 23C HDOP01.4 SATS07HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000945 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000945 12.2V 23C HDOP01.2 SATS09HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000946 12.2V 23C HDOP01.4 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000946 12.2V 23C HDOP01.4 SATS07HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000946 12.1V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000946 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000946 12.1V 23C HDOP01.2 SATS09HABET LX-120-A sscl.iastate.edu
!/97gR6ky5O st/A=000946 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky8O st/A=000946 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky8O st/A=000946 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky8O st/A=000946 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky8O st/A=000947 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky8O st/A=000947 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky8O st/A=000947 12.1V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky8O st/A=000947 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky8O st/A=000947 12.2V 23C HDOP01.3 SATS08HABET LX-120-A sscl.iastate.edu
!/97gR6ky2O st/A=000949 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gQ6ky.O st/A=000955 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000960 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000960 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000960 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000960 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000960 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000960 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000960 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.2 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.2 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.2 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.2 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.2 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.0 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.2V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.2V 23C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 25C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 25C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.2V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.2V 25C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 25C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 25C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 25C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 25C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.2V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky+O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000959 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000960 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gX6ky.O st/A=000960 12.1V 23C HDOP01.0 SATS10HABET LX-120-A sscl.iastate.edu
!/97g^6ky+O st/A=000977 12.1V 23C HDOP01.0 SATS10HABET LX-120-A sscl.iastate.edu
!/97g^6ky(O st/A=000979 12.1V 25C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97g^6ky(O st/A=000978 12.1V 23C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gX6ky(O st/A=000977 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gQ6ky(O st/A=000972 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gK6ky+O st/A=000972 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000970 12.1V 25C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000969 12.1V 25C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000969 12.1V 25C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000969 12.2V 25C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000969 12.1V 25C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000969 12.1V 25C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000968 12.1V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000968 12.1V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000969 12.1V 25C HDOP01.0 SATS10HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000969 12.1V 25C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000969 12.1V 25C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000969 12.1V 23C HDOP01.1 SATS09HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000969 12.1V 25C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gK6ky(O st/A=000969 12.1V 25C HDOP00.9 SATS10HABET LX-120-A sscl.iastate.edu
!/97gK6ky+O st/A=000969 12.1V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gK6ky+O st/A=000969 12.1V 23C HDOP01.0 SATS09HABET LX-120-A sscl.iastate.edu
!/97gK6ky+O st/A=000969 12.1V 25C HDOP01.2 SATS08HABET LX-120-A sscl.iastate.edu
